captured_at,story_id,rank,title,score,comments
2026-05-28T13:31:44.480644+00:00,48299335,48,On Labubu and the Hyperreal,84,93
2026-05-28T13:31:44.480644+00:00,48262703,49,"Freediving, Embodiment and Humanity",36,19
2026-05-28T13:31:44.480644+00:00,48277723,50,Raft Consensus with a Minority of Nodes,134,19
2026-05-28T13:37:01.947541+00:00,48307887,1,Five frontier LLMs disagree on 67% of 1k real-world fact-check claims,148,93
2026-05-28T13:37:01.947541+00:00,48299753,2,YouTube to automatically label AI-generated videos,1034,621
2026-05-28T13:37:01.947541+00:00,48305446,3,A Eureka machine that thinks like nature and explores what AI cannot,120,34
2026-05-28T13:37:01.947541+00:00,48307231,4,AMD pulls a bait-and-switch on Linux users with Vivado licensing changes,160,72
2026-05-28T13:37:01.947541+00:00,48304260,5,Hallucinate – Massively Multiplayer Online Rave,272,113
2026-05-28T13:37:01.947541+00:00,48296794,6,I think Anthropic and OpenAI have found product-market fit,961,1069
2026-05-28T13:37:01.947541+00:00,48302220,7,I analysed 20 years of my chats,201,82
2026-05-28T13:37:01.947541+00:00,48264705,8,Rapira (Рапира) – Soviet programming language interpreter,55,30
2026-05-28T13:37:01.947541+00:00,48297645,9,SimCity 3k in 4k (2025),407,161
2026-05-28T13:37:01.947541+00:00,48307237,10,Commission fines Temu €200M for breaching the Digital Services Act,51,37
2026-05-28T13:37:01.947541+00:00,48270265,11,Ruby vs. Java vs. TypeScript: my experience on building a Cowork DOCX plugin,26,5
2026-05-28T13:37:01.947541+00:00,48281336,12,More Whimsical OEIS Sequences,28,5
2026-05-28T13:37:01.947541+00:00,48299220,13,What Apple and Google are doing to push notifications,332,333
2026-05-28T13:37:01.947541+00:00,48257224,14,"Libwce: The entropy layer of a wavelet codec, on its own",7,0
2026-05-28T13:37:01.947541+00:00,48266067,15,"Nendo's Wonderful Toru, an Electric Kettle for Alessi",4,0
2026-05-28T13:37:01.947541+00:00,48299638,16,"I'm Getting into Mesh Networks (Meshtastic, MeshCore, and Reticulum)",248,97
2026-05-28T13:37:01.947541+00:00,48267558,17,The Ask,95,60
2026-05-28T13:37:01.947541+00:00,48265668,18,Seeing Around Corners Using Smartphone-Grade Lidar,31,6
2026-05-28T13:37:01.947541+00:00,48299623,19,Rust (and Slint) on a Jailbroken Kindle,192,28
2026-05-28T13:37:01.947541+00:00,48303881,20,Biff is a command line datetime Swiss army knife,65,32
2026-05-28T13:37:01.947541+00:00,48296649,21,DuckDuckGo search saw 28% more visits after Google said people love AI mode,943,445
2026-05-28T13:37:01.947541+00:00,48276429,23,Investigating how prompt politeness affects LLM accuracy (2025),97,99
2026-05-28T13:37:01.947541+00:00,48307098,24,AI sticker shock hits corporate America,117,97
2026-05-28T13:37:01.947541+00:00,48291575,25,Go: Support for Generic Methods,267,228
2026-05-28T13:37:01.947541+00:00,48300342,26,Warm up your MacBook (2019),97,99
2026-05-28T13:37:01.947541+00:00,48293080,27,"Incident with Pull Requests, Issues, Git Operations and API Requests",320,205
2026-05-28T13:37:01.947541+00:00,48296622,28,"Stress disrupts hippocampal integration of overlapping events, memory inference",145,21
2026-05-28T13:37:01.947541+00:00,48275255,29,A New Typst Template for Pandoc (2025),94,17
2026-05-28T13:37:01.947541+00:00,48302151,30,FBI Arrests CIA Official with $40M in Gold Bars in His Home,404,297
2026-05-28T13:45:22.328409+00:00,48307887,1,Five frontier LLMs disagree on 67% of 1k real-world fact-check claims,165,107
2026-05-28T13:45:22.328409+00:00,48299753,2,YouTube to automatically label AI-generated videos,1039,622
2026-05-28T13:45:22.328409+00:00,48307231,3,AMD pulls a bait-and-switch on Linux users with Vivado licensing changes,167,76
2026-05-28T13:45:22.328409+00:00,48296794,4,I think Anthropic and OpenAI have found product-market fit,963,1071
2026-05-28T13:45:22.328409+00:00,48304260,5,Hallucinate – Massively Multiplayer Online Rave,275,116
2026-05-28T13:45:22.328409+00:00,48302220,6,I analysed 20 years of my chats,203,85
2026-05-28T13:45:22.328409+00:00,48305446,7,A Eureka machine that thinks like nature and explores what AI cannot,120,34
2026-05-28T13:45:22.328409+00:00,48264705,8,Rapira (Рапира) – Soviet programming language interpreter,57,31
2026-05-28T13:45:22.328409+00:00,48297645,9,SimCity 3k in 4k (2025),410,162
2026-05-28T13:45:22.328409+00:00,48270265,10,Ruby vs. Java vs. TypeScript: my experience on building a Cowork DOCX plugin,27,6
2026-05-28T13:45:22.328409+00:00,48307237,11,Commission fines Temu €200M for breaching the Digital Services Act,57,38
2026-05-28T13:45:22.328409+00:00,48281336,12,More Whimsical OEIS Sequences,29,6
2026-05-28T13:45:22.328409+00:00,48299220,13,What Apple and Google are doing to push notifications,334,337
2026-05-28T13:45:22.328409+00:00,48299638,14,"I'm Getting into Mesh Networks (Meshtastic, MeshCore, and Reticulum)",248,97
2026-05-28T13:45:22.328409+00:00,48257224,15,"Libwce: The entropy layer of a wavelet codec, on its own",8,0
2026-05-28T13:45:22.328409+00:00,48266067,16,"Nendo's Wonderful Toru, an Electric Kettle for Alessi",5,0
2026-05-28T13:45:22.328409+00:00,48267558,17,The Ask,96,61
2026-05-28T13:45:22.328409+00:00,48265668,18,Seeing Around Corners Using Smartphone-Grade Lidar,31,6
2026-05-28T13:45:22.328409+00:00,48303881,19,Biff is a command line datetime Swiss army knife,66,32
2026-05-28T13:45:22.328409+00:00,48299623,20,Rust (and Slint) on a Jailbroken Kindle,195,29
2026-05-28T13:45:22.328409+00:00,48296649,21,DuckDuckGo search saw 28% more visits after Google said people love AI mode,946,445
2026-05-28T13:45:22.328409+00:00,48276429,23,Investigating how prompt politeness affects LLM accuracy (2025),98,100
2026-05-28T13:45:22.328409+00:00,48291575,24,Go: Support for Generic Methods,268,228
2026-05-28T13:45:22.328409+00:00,48300342,25,Warm up your MacBook (2019),99,101
2026-05-28T13:45:22.328409+00:00,48293080,26,"Incident with Pull Requests, Issues, Git Operations and API Requests",320,205
2026-05-28T13:45:22.328409+00:00,48296622,27,"Stress disrupts hippocampal integration of overlapping events, memory inference",146,21
2026-05-28T13:45:22.328409+00:00,48275255,28,A New Typst Template for Pandoc (2025),94,19
2026-05-28T13:45:22.328409+00:00,48307098,29,AI sticker shock hits corporate America,119,102
2026-05-28T13:45:22.328409+00:00,48302822,30,Google employee charged with $1M Polymarket insider trading bet on search term,251,149
